city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
Rio de Janeiro,30,1,1,0,4,acept,not furnished,R$336,R$550,R$10,R$7,R$903
Campinas,270,3,3,0,-,acept,furnished,R$0,"R$8,000",R$500,R$121,"R$8,621"
Belo Horizonte,48,1,1,0,9,acept,not furnished,R$350,R$670,R$21,R$9,"R$1,050"
Campinas,198,6,3,4,-,acept,not furnished,R$0,"R$2,000",R$145,R$31,"R$2,176"
Porto Alegre,50,1,1,0,-,acept,not furnished,R$0,"R$1,080",R$59,R$17,"R$1,156"
Campinas,185,3,3,3,20,acept,not furnished,"R$2,670","R$5,600",R$907,R$71,"R$9,248"
Belo Horizonte,440,4,4,4,-,acept,not furnished,R$0,"R$12,000","R$2,500",R$181,"R$14,680"
Belo Horizonte,119,3,2,2,7,acept,not furnished,"R$1,650","R$1,200",R$212,R$16,"R$3,078"
Porto Alegre,57,2,2,2,16,acept,not furnished,R$510,"R$1,690",R$11,R$22,"R$2,233"
Sao Paulo,65,2,1,1,1,acept,not furnished,R$100,"R$1,400",R$84,R$18,"R$1,602"
Belo Horizonte,35,2,1,1,-,acept,not furnished,R$125,"R$2,100",R$0,R$32,"R$2,257"
Rio de Janeiro,51,1,2,1,16,not acept,not furnished,R$703,"R$2,100",R$150,R$27,"R$2,980"
Porto Alegre,70,2,3,1,7,acept,not furnished,"R$1,196","R$2,004",R$0,R$26,"R$3,226"
Belo Horizonte,90,2,1,1,-,acept,not furnished,Incluso,"R$1,500",R$0,R$23,"R$1,523"
Sao Paulo,320,3,4,3,8,acept,not furnished,"R$3,400","R$6,800",R$1,R$87,"R$10,290"
Belo Horizonte,250,7,5,2,-,acept,not furnished,R$0,"R$12,750","R$1,045",R$192,"R$13,990"
Rio de Janeiro,70,2,1,1,6,acept,not furnished,R$660,"R$3,800",R$45,R$49,"R$4,554"
Rio de Janeiro,169,4,6,3,7,acept,furnished,"R$2,560","R$10,000",R$734,R$127,"R$13,420"
Porto Alegre,33,1,1,0,1,not acept,not furnished,R$338,"R$1,100",R$63,R$14,"R$1,515"
Porto Alegre,225,4,4,3,7,acept,not furnished,"R$2,800","R$5,000","R$1,267",R$64,"R$9,131"
Rio de Janeiro,42,1,1,0,2,acept,furnished,R$0,"R$3,256",R$0,R$42,"R$3,298"
Porto Alegre,120,3,4,1,-,not acept,not furnished,R$0,"R$4,000",R$4,R$61,"R$4,065"
Campinas,70,3,2,2,3,not acept,not furnished,R$750,"R$1,500",R$148,R$20,"R$2,418"
Campinas,90,1,1,2,-,acept,furnished,R$0,"R$3,200",R$137,R$49,"R$3,386"
Sao Paulo,260,4,5,4,9,acept,furnished,"R$2,014","R$3,300","R$1,000",R$42,"R$6,356"
Campinas,243,3,3,4,10,acept,not furnished,"R$2,678","R$5,500","R$1,950",R$70,"R$10,200"
Rio de Janeiro,100,1,1,0,-,acept,not furnished,R$0,"R$1,530",R$0,R$12,"R$1,542"
Rio de Janeiro,240,3,4,3,9,acept,not furnished,"R$3,211","R$5,100","R$1,102",R$65,"R$9,478"
Porto Alegre,45,1,1,1,4,acept,not furnished,R$700,R$870,R$46,R$12,"R$1,628"
Rio de Janeiro,65,1,1,1,2,acept,furnished,R$680,"R$5,000",R$14,R$64,"R$5,758"
Sao Paulo,47,1,1,0,4,not acept,not furnished,R$100,"R$1,000",R$76,R$13,"R$1,189"
Porto Alegre,60,2,1,0,2,acept,furnished,R$589,"R$3,300",R$65,R$42,"R$3,996"
Belo Horizonte,340,4,6,6,-,acept,furnished,Sem info,"R$15,000",R$250,R$226,"R$15,480"
Belo Horizonte,500,4,4,0,-,acept,not furnished,R$0,"R$6,000",R$467,R$91,"R$6,558"
Campinas,55,2,1,1,14,acept,not furnished,R$420,"R$1,399",R$0,R$18,"R$1,837"
Porto Alegre,240,3,4,3,3,acept,furnished,"R$3,600","R$4,950","R$1,000",R$63,"R$9,613"
Porto Alegre,65,2,2,1,1,acept,not furnished,R$650,"R$2,315",R$0,R$7,"R$2,972"
Sao Paulo,68,1,1,0,-,not acept,not furnished,R$0,"R$1,213",R$0,R$6,"R$1,219"
Sao Paulo,500,4,4,3,-,acept,not furnished,Sem info,"R$10,800",R$988,R$163,"R$11,950"
Belo Horizonte,198,2,2,2,13,acept,not furnished,"R$1,700","R$5,500",R$320,R$70,"R$7,590"
Rio de Janeiro,62,2,1,1,13,acept,not furnished,R$543,"R$2,200",R$59,R$28,"R$2,830"
Rio de Janeiro,60,2,2,1,4,acept,not furnished,R$632,"R$2,806",R$25,R$36,"R$3,499"
Rio de Janeiro,187,3,2,3,-,not acept,furnished,"R$1,700","R$8,400",R$584,R$127,"R$10,810"
Sao Paulo,25,1,1,0,23,acept,not furnished,R$432,"R$2,200",R$45,R$28,"R$2,705"
Belo Horizonte,230,3,4,3,-,acept,not furnished,R$0,"R$3,600",R$409,R$55,"R$4,064"
Rio de Janeiro,17,1,1,0,1,not acept,furnished,R$300,"R$2,400",R$50,R$31,"R$2,781"
Sao Paulo,67,2,2,1,17,acept,not furnished,R$740,"R$2,200",R$170,R$28,"R$3,138"
Rio de Janeiro,20,1,1,0,1,acept,furnished,Incluso,"R$2,060",R$0,R$27,"R$2,087"
Campinas,118,3,2,2,7,acept,furnished,"R$1,880","R$8,500",R$434,R$108,"R$10,920"
Belo Horizonte,43,1,1,1,2,acept,not furnished,R$850,"R$2,430",R$172,R$31,"R$3,483"
Porto Alegre,195,2,3,1,10,acept,not furnished,"R$1,500","R$6,000",R$334,R$77,"R$7,911"
Rio de Janeiro,141,3,4,3,7,not acept,not furnished,"R$1,646","R$7,500",R$735,R$96,"R$9,977"
Campinas,45,1,1,1,1,not acept,not furnished,R$550,"R$2,300",R$0,R$30,"R$2,880"
Campinas,48,1,1,1,19,acept,not furnished,R$588,"R$1,525",R$0,R$6,"R$2,119"
Sao Paulo,280,3,4,2,3,not acept,not furnished,"R$4,000","R$6,000","R$1,059",R$77,"R$11,140"
Porto Alegre,170,3,2,2,5,not acept,not furnished,"R$2,199","R$5,000",R$423,R$64,"R$7,686"
Rio de Janeiro,90,3,2,1,-,acept,not furnished,R$0,"R$3,260",R$0,R$50,"R$3,310"
Belo Horizonte,35,1,1,1,7,acept,not furnished,R$392,"R$1,100",R$13,R$14,"R$1,519"
Rio de Janeiro,16,1,1,0,8,not acept,not furnished,R$390,"R$2,300",R$100,R$30,"R$2,820"
Rio de Janeiro,68,1,1,1,10,not acept,furnished,R$600,"R$1,000",R$48,R$13,"R$1,661"
Belo Horizonte,80,3,5,2,4,not acept,not furnished,"R$3,460","R$12,000","R$1,000",R$153,"R$16,610"
Porto Alegre,190,3,2,1,6,acept,furnished,"R$3,040","R$8,000",R$556,R$102,"R$11,700"
Sao Paulo,150,3,4,2,-,not acept,not furnished,R$0,"R$3,400",R$0,R$52,"R$3,452"
