city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
Rio de Janeiro,65,2,1,1,1,not acept,not furnished,R$267,"R$1,000",R$34,R$13,"R$1,314"
Belo Horizonte,70,3,2,1,3,acept,not furnished,R$758,"R$2,000",R$109,R$26,"R$2,893"
Porto Alegre,80,2,2,0,-,acept,not furnished,R$0,"R$2,000",R$134,R$31,"R$2,165"
Porto Alegre,292,4,3,3,8,acept,furnished,"R$2,700","R$11,480",R$709,R$146,"R$15,030"
Campinas,28,1,1,0,1,acept,not furnished,R$0,"R$1,329",R$15,R$17,"R$1,361"
Rio de Janeiro,130,3,2,1,7,not acept,not furnished,"R$1,900","R$6,900",R$260,R$88,"R$9,148"
Rio de Janeiro,145,3,2,1,4,acept,not furnished,"R$1,600","R$3,445",R$0,R$13,"R$5,058"
Campinas,58,1,1,0,2,not acept,not furnished,R$330,"R$1,398",R$0,R$8,"R$1,736"
Rio de Janeiro,380,3,5,1,10,not acept,not furnished,"R$3,000","R$15,000",R$267,R$191,"R$18,460"
Rio de Janeiro,100,2,2,2,10,acept,not furnished,R$930,"R$2,600",R$21,R$33,"R$3,584"
Sao Paulo,62,1,1,1,1,not acept,not furnished,R$650,R$755,R$0,R$3,"R$1,408"
Belo Horizonte,55,2,1,1,-,acept,not furnished,R$480,R$750,R$66,R$10,"R$1,306"
Porto Alegre,98,2,2,1,-,not acept,not furnished,"R$1,300","R$2,990",R$250,R$38,"R$4,578"
Belo Horizonte,159,3,3,1,6,acept,not furnished,"R$1,800","R$3,000",R$292,R$39,"R$5,131"
Sao Paulo,210,3,5,4,6,acept,furnished,"R$3,301","R$11,900",R$960,R$151,"R$16,310"
Belo Horizonte,60,2,1,1,3,acept,not furnished,R$345,R$880,R$16,R$12,"R$1,253"
Campinas,472,3,2,4,-,acept,not furnished,R$0,"R$6,500",R$650,R$98,"R$7,248"
Belo Horizonte,128,3,2,2,1,acept,not furnished,"R$1,630","R$3,000",R$597,R$39,"R$5,266"
Porto Alegre,83,2,1,1,1,acept,not furnished,R$620,"R$1,147",R$238,R$15,"R$2,020"
Campinas,50,1,1,1,6,not acept,furnished,"R$1,450","R$2,500",R$342,R$32,"R$4,324"
Campinas,112,3,2,3,-,acept,not furnished,R$0,"R$3,300",R$32,R$50,"R$3,382"
Sao Paulo,52,3,1,1,1,acept,furnished,R$288,"R$1,200",R$63,R$16,"R$1,567"
Campinas,40,1,1,1,9,acept,furnished,"R$1,800","R$4,800",R$350,R$61,"R$7,011"
Rio de Janeiro,500,4,6,3,-,acept,not furnished,R$0,"R$15,000",R$845,R$226,"R$16,070"
Belo Horizonte,55,2,1,1,13,acept,not furnished,R$505,"R$1,800",R$0,R$23,"R$2,328"
Belo Horizonte,365,3,5,2,5,acept,furnished,"R$1,950","R$8,500",R$899,R$108,"R$11,460"
Belo Horizonte,40,1,2,1,28,not acept,furnished,"R$1,935","R$4,200",R$318,R$54,"R$6,507"
Belo Horizonte,25,1,1,1,25,acept,not furnished,R$331,"R$2,100",R$64,R$27,"R$2,522"
Sao Paulo,85,3,2,2,9,acept,furnished,R$510,"R$3,000",R$165,R$39,"R$3,714"
Sao Paulo,170,4,3,1,10,not acept,not furnished,"R$1,470","R$3,700",R$0,R$47,"R$5,217"
Campinas,300,3,5,4,12,not acept,not furnished,"R$6,593","R$6,000","R$1,974",R$77,"R$14,640"
Sao Paulo,53,2,1,1,7,not acept,not furnished,R$600,"R$1,200",R$60,R$16,"R$1,876"
Belo Horizonte,387,4,5,6,-,acept,not furnished,Incluso,"R$13,000",R$834,R$196,"R$14,030"
Sao Paulo,85,3,2,1,4,acept,not furnished,"R$1,300","R$3,100",R$125,R$40,"R$4,565"
Belo Horizonte,45,2,1,1,3,acept,not furnished,R$312,R$850,R$25,R$11,"R$1,198"
Campinas,44,1,1,0,1,not acept,not furnished,R$0,"R$1,200",R$30,R$16,"R$1,246"
Porto Alegre,92,2,2,1,6,not acept,not furnished,"R$1,590","R$2,490",R$158,R$32,"R$4,270"
Porto Alegre,45,1,1,1,-,acept,not furnished,Sem info,"R$1,300",R$59,R$20,"R$1,379"
Rio de Janeiro,60,2,1,0,10,acept,not furnished,R$453,"R$1,654",R$0,R$19,"R$2,126"
Belo Horizonte,150,3,5,2,14,acept,not furnished,"R$1,423","R$3,102",R$452,R$40,"R$5,017"
Rio de Janeiro,35,1,1,0,1,not acept,not furnished,R$250,"R$1,305",R$0,R$17,"R$1,572"
Sao Paulo,70,2,2,1,6,acept,not furnished,R$450,"R$3,500",R$150,R$45,"R$4,145"
Belo Horizonte,350,3,5,4,13,acept,not furnished,"R$4,000","R$3,760","R$1,750",R$48,"R$9,558"
Porto Alegre,20,1,1,0,5,acept,furnished,R$602,"R$1,800",R$130,R$23,"R$2,555"
Sao Paulo,316,4,6,4,18,acept,furnished,"R$4,767","R$8,000","R$1,963",R$102,"R$14,830"
Campinas,38,1,1,0,16,not acept,not furnished,R$188,"R$2,001",R$0,R$26,"R$2,215"
Campinas,62,3,2,1,5,acept,not furnished,R$455,"R$1,583",R$33,R$6,"R$2,077"
Belo Horizonte,258,2,2,1,-,acept,not furnished,R$0,"R$1,400",R$67,R$22,"R$1,489"
Sao Paulo,402,4,5,2,-,not acept,not furnished,R$730,"R$4,800",R$459,R$73,"R$6,062"
Belo Horizonte,200,3,1,2,-,acept,not furnished,R$0,"R$3,000",R$0,R$46,"R$3,046"
Sao Paulo,60,1,1,1,6,acept,not furnished,R$683,"R$2,240",R$0,R$29,"R$2,952"
Rio de Janeiro,54,2,1,1,10,acept,not furnished,R$320,"R$1,500",R$23,R$20,"R$1,863"
Belo Horizonte,53,2,1,1,8,acept,furnished,R$950,"R$1,200",R$0,R$16,"R$2,166"
Porto Alegre,50,1,1,0,1,acept,not furnished,R$0,R$950,R$0,R$15,R$965
Sao Paulo,65,2,1,1,3,acept,not furnished,R$420,"R$1,250",R$53,R$16,"R$1,739"
Campinas,81,3,2,2,3,acept,not furnished,R$780,"R$2,230",R$128,R$29,"R$3,167"
Rio de Janeiro,68,2,2,1,18,acept,not furnished,R$640,"R$3,400",R$95,R$44,"R$4,179"
Belo Horizonte,158,3,3,2,10,not acept,not furnished,"R$1,995","R$5,500",R$529,R$70,"R$8,094"
Rio de Janeiro,114,2,2,1,4,acept,not furnished,"R$1,405","R$2,000",R$0,R$26,"R$3,431"
Rio de Janeiro,80,3,2,2,5,acept,not furnished,"R$1,045","R$2,400",R$227,R$31,"R$3,703"
Belo Horizonte,111,3,3,3,6,not acept,furnished,"R$1,000","R$5,000",R$283,R$64,"R$6,347"
Belo Horizonte,160,3,4,2,3,acept,not furnished,"R$2,462","R$8,500",R$60,R$108,"R$11,130"
Belo Horizonte,630,4,6,4,-,not acept,not furnished,R$0,"R$12,300","R$2,667",R$185,"R$15,150"
Porto Alegre,68,1,1,0,-,not acept,not furnished,R$0,"R$1,140",R$0,R$18,"R$1,158"
Porto Alegre,60,2,1,1,1,acept,not furnished,R$314,"R$1,000",R$0,R$13,"R$1,327"
Rio de Janeiro,110,3,2,1,10,acept,not furnished,"R$1,421","R$2,800",R$104,R$36,"R$4,361"
Sao Paulo,255,4,4,3,2,acept,not furnished,"R$5,000","R$6,600","R$1,678",R$84,"R$13,360"
Belo Horizonte,252,4,6,3,19,acept,not furnished,"R$1,700","R$12,000",R$650,R$153,"R$14,500"
Porto Alegre,86,2,1,1,12,acept,not furnished,"R$1,000","R$3,007",R$84,R$39,"R$4,130"
Rio de Janeiro,48,2,1,0,2,acept,not furnished,R$90,"R$1,191",R$90,R$16,"R$1,387"
Porto Alegre,300,4,5,3,9,acept,not furnished,"R$1,650","R$9,500",R$459,R$121,"R$11,730"
Campinas,130,3,2,1,13,acept,not furnished,"R$1,600","R$2,900",R$200,R$37,"R$4,737"
Rio de Janeiro,36,1,1,0,1,acept,not furnished,R$355,"R$1,800",R$0,R$23,"R$2,178"
Sao Paulo,220,3,1,4,-,not acept,not furnished,R$0,"R$2,800",R$334,R$43,"R$3,177"
Rio de Janeiro,96,2,2,2,5,acept,not furnished,"R$1,200","R$1,600",R$400,R$21,"R$3,221"
Campinas,280,3,3,5,-,acept,not furnished,R$0,"R$3,500",R$2,R$53,"R$3,555"
Rio de Janeiro,70,1,1,1,-,acept,not furnished,R$0,"R$1,170",R$44,R$18,"R$1,232"
Campinas,102,2,2,1,1,acept,not furnished,R$430,"R$1,700",R$126,R$22,"R$2,278"
Belo Horizonte,70,2,1,0,6,acept,not furnished,R$480,"R$1,800",R$0,R$23,"R$2,303"
Rio de Janeiro,35,1,1,0,18,acept,not furnished,R$250,"R$1,850",R$0,R$24,"R$2,124"
Sao Paulo,60,2,2,1,5,acept,not furnished,R$700,"R$1,465",R$100,R$19,"R$2,284"
Rio de Janeiro,500,2,2,1,-,acept,not furnished,R$129,"R$2,260",R$0,R$34,"R$2,423"
Belo Horizonte,238,4,5,3,1,not acept,not furnished,"R$2,500","R$15,000",R$375,R$58,"R$17,930"
Belo Horizonte,127,3,2,2,1,acept,not furnished,Sem info,"R$5,000",R$250,R$76,"R$5,326"
Campinas,298,4,4,3,6,acept,not furnished,"R$3,356","R$9,000","R$1,190",R$115,"R$13,660"
Belo Horizonte,75,3,1,1,9,acept,not furnished,R$950,"R$2,951",R$233,R$12,"R$4,146"
Porto Alegre,105,2,2,2,11,acept,not furnished,"R$1,175","R$3,800",R$258,R$49,"R$5,282"
Campinas,279,5,5,6,3,acept,furnished,R$900,"R$4,740",R$834,R$61,"R$6,535"
Campinas,100,1,2,1,13,not acept,not furnished,"R$1,520","R$6,000",R$348,R$77,"R$7,945"
Rio de Janeiro,100,3,2,1,12,acept,not furnished,R$700,"R$1,946",R$0,R$7,"R$2,653"
Campinas,120,4,2,2,-,not acept,not furnished,R$0,"R$4,500",R$89,R$68,"R$4,657"
Rio de Janeiro,98,3,2,1,7,acept,furnished,R$850,"R$3,318",R$0,R$27,"R$4,195"
Belo Horizonte,550,5,6,8,-,acept,not furnished,Sem info,"R$10,600",R$578,R$160,"R$11,340"
Porto Alegre,100,3,2,6,-,acept,not furnished,R$0,"R$7,500","R$1,000",R$113,"R$8,613"
Sao Paulo,55,1,1,0,5,not acept,not furnished,R$630,R$950,R$80,R$13,"R$1,673"
Porto Alegre,58,2,2,1,1,acept,not furnished,R$934,"R$2,588",R$76,R$10,"R$3,608"
Rio de Janeiro,180,3,3,1,6,not acept,not furnished,"R$1,650","R$7,500",R$850,R$96,"R$10,100"
Rio de Janeiro,22,1,1,0,25,acept,not furnished,R$385,"R$2,100",R$40,R$27,"R$2,552"
Porto Alegre,82,3,2,1,1,acept,not furnished,R$650,"R$1,200",R$100,R$16,"R$1,966"
Belo Horizonte,194,3,2,3,-,acept,not furnished,R$0,"R$3,500",R$75,R$53,"R$3,628"
Porto Alegre,70,3,2,1,1,acept,not furnished,R$840,"R$2,300",R$30,R$30,"R$3,200"
Campinas,67,2,2,2,4,acept,furnished,R$883,"R$4,675",R$256,R$60,"R$5,874"
Sao Paulo,100,3,2,2,6,not acept,not furnished,"R$1,200","R$2,000",R$0,R$26,"R$3,226"
Porto Alegre,60,2,2,1,8,acept,not furnished,R$640,"R$1,650",R$0,R$21,"R$2,311"
Campinas,62,2,2,1,5,acept,not furnished,R$510,"R$2,500",R$158,R$32,"R$3,200"
Rio de Janeiro,44,1,1,0,4,acept,furnished,R$450,"R$2,500",R$30,R$32,"R$3,012"
Rio de Janeiro,66,2,2,1,15,not acept,not furnished,R$862,"R$2,748",R$31,R$35,"R$3,676"
Belo Horizonte,86,2,1,1,1,acept,not furnished,R$960,"R$2,372",R$0,R$10,"R$3,342"
Porto Alegre,300,3,4,0,-,acept,furnished,R$0,"R$10,000","R$2,000",R$151,"R$12,150"
Sao Paulo,60,2,1,1,7,acept,not furnished,R$486,R$900,R$74,R$12,"R$1,472"
Belo Horizonte,65,2,1,1,7,acept,not furnished,R$550,"R$1,100",R$100,R$14,"R$1,764"
Rio de Janeiro,46,1,1,1,5,acept,furnished,R$770,"R$1,600",R$4,R$21,"R$2,395"
Sao Paulo,70,2,2,1,13,acept,not furnished,R$849,"R$4,400",R$150,R$56,"R$5,455"
Rio de Janeiro,110,2,2,0,13,acept,not furnished,R$664,"R$2,690",R$0,R$35,"R$3,389"
Porto Alegre,20,1,1,0,3,not acept,furnished,R$300,R$600,R$40,R$8,R$948
Sao Paulo,200,3,3,3,3,acept,not furnished,"R$3,162","R$4,790",R$876,R$61,"R$8,889"
Porto Alegre,150,3,3,2,10,acept,not furnished,"R$1,570","R$4,000",R$515,R$51,"R$6,136"
Porto Alegre,120,3,1,0,-,acept,not furnished,R$0,"R$2,200",R$0,R$34,"R$2,234"
Sao Paulo,176,3,4,3,20,not acept,not furnished,"R$2,004","R$9,500",R$584,R$121,"R$12,210"
Sao Paulo,40,1,1,1,2,not acept,not furnished,"R$1,300","R$1,000",R$0,R$13,"R$2,313"
Rio de Janeiro,350,3,6,4,28,acept,furnished,"R$2,100","R$12,000","R$1,417",R$153,"R$15,670"
Rio de Janeiro,65,2,2,1,3,acept,not furnished,R$870,"R$1,613",R$0,R$6,"R$2,489"
Campinas,35,1,1,1,4,acept,furnished,R$510,"R$1,850",R$0,R$24,"R$2,384"
Porto Alegre,88,1,1,2,-,acept,not furnished,R$678,"R$2,200",R$24,R$28,"R$2,930"
Rio de Janeiro,106,2,2,2,1,not acept,furnished,"R$1,170","R$10,600",R$334,R$135,"R$12,240"
Rio de Janeiro,220,4,4,1,19,acept,not furnished,"R$1,800","R$4,000",R$650,R$51,"R$6,501"
Rio de Janeiro,40,1,1,0,2,acept,not furnished,R$250,"R$1,020",R$70,R$13,"R$1,353"
Rio de Janeiro,70,3,1,1,1,acept,not furnished,R$600,"R$1,500",R$17,R$20,"R$2,137"
Campinas,227,4,4,3,7,not acept,furnished,"R$2,000","R$15,000",R$750,R$191,"R$17,940"
Porto Alegre,208,3,3,2,2,acept,furnished,"R$2,354","R$7,000",R$552,R$89,"R$9,995"
Campinas,238,4,3,1,7,acept,not furnished,"R$2,515","R$5,000",R$575,R$64,"R$8,154"
Campinas,161,3,3,3,17,acept,not furnished,"R$2,700","R$10,000",R$667,R$127,"R$13,490"
Rio de Janeiro,85,3,2,2,3,acept,not furnished,"R$1,050","R$2,350",R$217,R$30,"R$3,647"
Sao Paulo,192,2,3,1,1,acept,furnished,"R$2,300","R$12,000",R$446,R$153,"R$14,900"
Rio de Janeiro,71,2,1,1,3,acept,not furnished,R$670,"R$1,130",R$114,R$15,"R$1,929"
Rio de Janeiro,55,1,1,0,13,acept,not furnished,R$400,"R$1,300",R$0,R$17,"R$1,717"
Campinas,219,4,5,2,4,acept,furnished,"R$1,954","R$3,800",R$472,R$49,"R$6,275"
Campinas,200,2,2,1,-,acept,not furnished,Sem info,"R$2,300",R$92,R$35,"R$2,427"
Belo Horizonte,50,1,1,0,-,not acept,not furnished,R$0,"R$1,266",R$57,R$4,"R$1,327"
Porto Alegre,90,2,1,0,-,acept,not furnished,R$0,"R$2,800",R$170,R$43,"R$3,013"
Belo Horizonte,45,1,1,1,1,not acept,furnished,"R$3,000","R$5,520",R$0,R$70,"R$8,590"
Campinas,120,2,2,1,3,not acept,furnished,R$782,"R$3,300",R$0,R$42,"R$4,124"
Rio de Janeiro,170,3,2,1,5,acept,not furnished,"R$2,215","R$4,500",R$293,R$58,"R$7,066"
Campinas,400,4,3,4,-,acept,not furnished,R$0,"R$3,760","R$2,084",R$57,"R$5,901"
Belo Horizonte,42,1,1,1,3,acept,not furnished,R$450,"R$2,700",R$52,R$35,"R$3,237"
Belo Horizonte,31,1,1,1,3,not acept,furnished,"R$2,000","R$1,990",R$125,R$26,"R$4,141"
Belo Horizonte,350,3,5,3,-,acept,not furnished,R$0,"R$4,500",R$17,R$68,"R$4,585"
Porto Alegre,62,1,1,0,4,acept,furnished,R$670,"R$2,300",R$0,R$30,"R$3,000"
Campinas,83,2,3,2,8,acept,not furnished,"R$1,555","R$3,200",R$735,R$41,"R$5,531"
Rio de Janeiro,35,1,1,0,1,not acept,not furnished,R$250,"R$1,305",R$0,R$17,"R$1,572"
Porto Alegre,147,3,2,2,4,acept,not furnished,"R$1,313","R$3,600",R$414,R$46,"R$5,373"
Porto Alegre,208,4,4,3,5,acept,not furnished,"R$3,600","R$12,000","R$1,084",R$153,"R$16,840"
Porto Alegre,30,1,1,0,-,acept,not furnished,R$0,R$750,R$59,R$12,R$821
Belo Horizonte,97,2,2,2,3,acept,not furnished,"R$1,400","R$2,200",R$42,R$28,"R$3,670"
Porto Alegre,30,1,1,0,-,not acept,not furnished,R$0,R$920,R$0,R$14,R$934
Campinas,104,3,2,2,8,acept,not furnished,"R$1,300","R$3,300",R$289,R$42,"R$4,931"
Belo Horizonte,230,4,3,3,-,acept,not furnished,"R$2,270","R$8,200","R$1,060",R$124,"R$11,650"
Campinas,20,1,1,0,4,not acept,furnished,R$150,"R$3,142",R$67,R$40,"R$3,399"
Porto Alegre,298,4,4,1,-,acept,not furnished,R$0,"R$3,000",R$0,R$46,"R$3,046"
Campinas,127,2,1,2,-,acept,not furnished,R$0,"R$2,250",R$247,R$34,"R$2,531"
Belo Horizonte,60,3,2,1,3,acept,not furnished,R$452,R$800,R$50,R$11,"R$1,313"
Rio de Janeiro,54,2,2,1,11,acept,not furnished,R$954,"R$2,800",R$190,R$36,"R$3,980"
Belo Horizonte,262,3,4,4,-,acept,not furnished,"R$1,953","R$9,500",R$745,R$143,"R$12,340"
Belo Horizonte,19,1,1,0,-,not acept,not furnished,R$0,"R$1,200",R$0,R$16,"R$1,216"
Belo Horizonte,55,2,1,1,1,acept,furnished,R$300,"R$2,200",R$84,R$28,"R$2,612"
Porto Alegre,120,2,1,1,-,not acept,not furnished,R$0,"R$1,300",R$50,R$20,"R$1,370"
Belo Horizonte,88,3,4,2,5,acept,not furnished,R$486,"R$3,900",R$305,R$50,"R$4,741"
Belo Horizonte,136,3,2,2,9,not acept,not furnished,"R$1,650","R$6,818",R$332,R$87,"R$8,887"
Porto Alegre,130,3,1,1,-,acept,not furnished,R$0,"R$2,000",R$0,R$31,"R$2,031"
Belo Horizonte,48,1,1,1,1,not acept,not furnished,R$450,R$550,R$42,R$7,"R$1,049"
Belo Horizonte,53,3,2,1,13,not acept,not furnished,R$420,"R$2,000",R$67,R$26,"R$2,513"
Sao Paulo,320,4,5,5,-,acept,not furnished,R$0,"R$10,870","R$1,417",R$164,"R$12,450"
Porto Alegre,52,1,1,1,8,not acept,furnished,"R$1,000","R$2,300",R$50,R$30,"R$3,380"
Belo Horizonte,20,1,1,0,-,acept,furnished,R$602,"R$1,800",R$130,R$23,"R$2,555"
Belo Horizonte,75,2,1,3,5,not acept,not furnished,R$700,"R$2,500",R$250,R$32,"R$3,482"
Campinas,90,3,1,0,-,not acept,not furnished,R$270,"R$2,200",R$225,R$34,"R$2,729"
Porto Alegre,95,2,2,1,-,acept,not furnished,R$0,"R$2,400",R$180,R$37,"R$2,617"
Porto Alegre,70,1,1,1,-,not acept,not furnished,Incluso,"R$1,100",R$0,R$17,"R$1,117"
Porto Alegre,25,1,1,0,9,acept,furnished,R$160,"R$1,820",R$0,R$24,"R$2,004"
Porto Alegre,230,3,4,2,3,acept,not furnished,"R$2,000","R$4,800",R$292,R$61,"R$7,153"
Sao Paulo,89,3,2,2,15,not acept,not furnished,R$935,"R$5,418",R$0,R$20,"R$6,373"
Belo Horizonte,129,2,2,1,6,acept,furnished,"R$1,507","R$13,000",R$308,R$165,"R$14,980"
Belo Horizonte,42,1,1,1,-,acept,furnished,R$675,"R$3,600",R$82,R$46,"R$4,403"
Porto Alegre,255,4,4,3,13,acept,furnished,Incluso,"R$11,900",R$0,R$151,"R$12,050"
Porto Alegre,192,3,4,2,13,acept,not furnished,"R$1,600","R$8,500",R$0,R$108,"R$10,210"
Rio de Janeiro,99,2,1,1,6,not acept,not furnished,"R$1,300","R$4,300",R$125,R$55,"R$5,780"
Rio de Janeiro,50,2,1,1,1,acept,not furnished,R$400,"R$1,050",R$0,R$8,"R$1,458"
Belo Horizonte,48,1,2,0,2,acept,furnished,R$704,"R$1,234",R$46,R$16,"R$2,000"
Sao Paulo,99,2,1,1,-,acept,not furnished,R$0,"R$3,650",R$230,R$55,"R$3,935"
Rio de Janeiro,33,1,1,1,7,not acept,not furnished,R$560,"R$1,219",R$0,R$8,"R$1,787"
Porto Alegre,93,3,2,2,25,not acept,furnished,R$650,"R$3,500",R$125,R$45,"R$4,320"
Rio de Janeiro,49,1,1,1,10,acept,not furnished,R$480,"R$3,500",R$42,R$45,"R$4,067"
Sao Paulo,50,1,1,0,9,not acept,furnished,R$850,"R$2,480",R$20,R$32,"R$3,382"
Sao Paulo,100,3,3,1,-,acept,not furnished,R$0,"R$2,400",R$0,R$37,"R$2,437"
Campinas,110,2,1,1,10,not acept,not furnished,R$705,"R$1,800",R$0,R$23,"R$2,528"
Campinas,800,4,7,8,-,acept,not furnished,R$0,"R$12,000","R$1,667",R$181,"R$13,850"
Porto Alegre,210,4,5,2,1,acept,furnished,"R$3,800","R$8,500",R$0,R$108,"R$12,410"
Rio de Janeiro,80,3,1,0,-,not acept,not furnished,R$185,"R$2,100",R$0,R$27,"R$2,312"
Belo Horizonte,196,2,3,3,8,acept,not furnished,"R$3,210","R$5,500",R$73,R$70,"R$8,853"
Sao Paulo,160,1,4,2,2,not acept,not furnished,"R$1,000","R$3,500",R$10,R$45,"R$4,555"
Rio de Janeiro,250,5,3,6,-,acept,not furnished,R$0,"R$15,000","R$2,704",R$226,"R$17,930"
Belo Horizonte,160,4,4,3,2,acept,not furnished,"R$2,500","R$11,000",R$0,R$140,"R$13,640"
Porto Alegre,189,4,3,2,5,not acept,furnished,"R$2,300","R$6,500",R$584,R$83,"R$9,467"
Rio de Janeiro,93,2,1,1,11,acept,not furnished,R$760,"R$3,200",R$0,R$41,"R$4,001"
Sao Paulo,500,4,6,6,-,acept,not furnished,R$0,"R$5,930","R$2,084",R$90,"R$8,104"
Porto Alegre,57,2,1,1,3,not acept,not furnished,R$343,R$850,R$67,R$11,"R$1,271"
Rio de Janeiro,76,3,1,1,8,not acept,not furnished,R$484,"R$1,100",R$63,R$14,"R$1,661"
Belo Horizonte,240,4,5,5,9,acept,furnished,"R$3,442","R$9,900","R$1,529",R$126,"R$15,000"
Porto Alegre,240,3,4,3,1,acept,furnished,"R$5,100","R$11,000","R$1,834",R$140,"R$18,070"
Porto Alegre,400,3,5,4,11,acept,not furnished,"R$3,800","R$3,800","R$1,250",R$49,"R$8,899"
Rio de Janeiro,68,3,1,1,1,acept,not furnished,R$560,"R$1,460",R$115,R$19,"R$2,154"
Campinas,80,2,2,1,7,acept,not furnished,R$831,"R$3,800",R$9,R$49,"R$4,689"
Sao Paulo,205,4,4,2,14,acept,not furnished,"R$3,050","R$10,800",R$517,R$137,"R$14,500"
Sao Paulo,250,3,3,1,9,acept,not furnished,"R$2,000","R$6,500",R$292,R$83,"R$8,875"
Sao Paulo,120,2,3,2,10,acept,furnished,"R$1,500","R$9,000",R$542,R$115,"R$11,160"
Rio de Janeiro,68,2,1,1,9,acept,not furnished,R$0,"R$1,850",R$0,R$24,"R$1,874"
Campinas,65,2,1,1,3,acept,not furnished,R$315,"R$1,400",R$47,R$18,"R$1,780"
Campinas,720,4,5,5,17,acept,not furnished,"R$6,471","R$6,500","R$3,520",R$83,"R$16,570"
Campinas,40,1,1,0,1,not acept,not furnished,R$150,"R$1,047",R$0,R$14,"R$1,211"
Belo Horizonte,75,2,1,0,5,acept,furnished,"R$1,310","R$1,283",R$0,R$17,"R$2,610"
Rio de Janeiro,150,2,2,2,-,acept,not furnished,R$0,"R$2,640",R$0,R$40,"R$2,680"
Belo Horizonte,34,1,1,0,11,not acept,not furnished,R$370,"R$2,800",R$74,R$36,"R$3,280"
Sao Paulo,135,3,2,2,-,acept,not furnished,R$0,"R$1,700",R$25,R$26,"R$1,751"
Belo Horizonte,36,1,1,0,3,not acept,not furnished,R$500,"R$1,900",R$77,R$25,"R$2,502"
Porto Alegre,60,2,1,1,1,acept,not furnished,R$670,"R$2,058",R$0,R$9,"R$2,737"
Sao Paulo,280,3,3,8,-,acept,not furnished,R$0,"R$13,000","R$4,234",R$196,"R$17,430"
Belo Horizonte,156,3,3,3,20,acept,not furnished,"R$1,600","R$4,900",R$917,R$63,"R$7,480"
Porto Alegre,60,1,1,1,7,acept,not furnished,"R$1,300","R$3,070",R$217,R$39,"R$4,626"
Campinas,60,2,1,1,1,not acept,furnished,R$385,"R$2,848",R$64,R$37,"R$3,334"
Sao Paulo,150,4,2,1,-,acept,not furnished,R$0,"R$3,900",R$0,R$59,"R$3,959"
Belo Horizonte,120,3,2,2,1,acept,not furnished,"R$2,450","R$4,636",R$875,R$59,"R$8,020"
Sao Paulo,64,3,1,1,2,acept,not furnished,R$470,"R$1,200",R$110,R$16,"R$1,796"
Rio de Janeiro,238,4,4,3,1,acept,furnished,"R$2,569","R$15,000",R$542,R$191,"R$18,300"
Belo Horizonte,127,3,2,1,12,not acept,not furnished,"R$1,655","R$3,900",R$350,R$50,"R$5,955"
Sao Paulo,87,2,2,2,15,acept,not furnished,R$663,"R$3,700",R$257,R$47,"R$4,667"
Belo Horizonte,300,4,4,0,7,acept,furnished,"R$2,700","R$9,600",R$500,R$122,"R$12,920"
Belo Horizonte,60,2,1,0,1,acept,not furnished,R$191,"R$1,500",R$150,R$20,"R$1,861"
Porto Alegre,270,6,3,6,-,acept,not furnished,R$0,"R$4,500",R$417,R$68,"R$4,985"
Sao Paulo,142,3,3,2,15,acept,not furnished,"R$1,600","R$9,000",R$475,R$115,"R$11,190"
Campinas,35,1,1,0,3,acept,not furnished,R$315,"R$1,649",R$0,R$21,"R$1,985"
Belo Horizonte,55,2,1,0,-,acept,not furnished,Sem info,"R$1,600",R$50,R$25,"R$1,675"
Campinas,129,4,4,2,14,acept,furnished,"R$1,180","R$8,900",R$387,R$113,"R$10,580"
Rio de Janeiro,30,1,1,1,14,not acept,not furnished,"R$1,379","R$1,660",R$18,R$22,"R$3,079"
Rio de Janeiro,89,2,2,1,5,acept,not furnished,"R$1,542","R$2,300",R$238,R$30,"R$4,110"
Belo Horizonte,98,3,2,2,6,acept,furnished,R$961,"R$2,500",R$180,R$32,"R$3,673"
Rio de Janeiro,277,4,4,6,5,acept,not furnished,"R$4,200","R$3,800","R$1,947",R$49,"R$9,996"
Belo Horizonte,80,2,2,2,15,acept,not furnished,"R$2,000","R$11,000",R$0,R$140,"R$13,140"
Sao Paulo,113,2,1,1,5,acept,not furnished,"R$1,000","R$3,000",R$50,R$39,"R$4,089"
Campinas,25,1,1,0,1,not acept,not furnished,R$0,"R$1,200",R$35,R$16,"R$1,251"
Belo Horizonte,212,3,4,4,4,acept,not furnished,"R$3,400","R$10,000","R$1,250",R$127,"R$14,780"
Campinas,53,2,1,1,3,acept,not furnished,R$345,R$850,R$15,R$11,"R$1,221"
Rio de Janeiro,235,3,4,3,2,acept,not furnished,"R$2,000","R$2,550","R$1,000",R$33,"R$5,583"
Campinas,100,1,2,2,8,acept,not furnished,R$700,"R$2,000",R$150,R$18,"R$2,868"
Porto Alegre,140,4,3,2,14,acept,not furnished,"R$1,030","R$3,500",R$220,R$45,"R$4,795"
Rio de Janeiro,51,1,2,1,3,not acept,furnished,"R$1,062","R$2,100",R$27,R$27,"R$3,216"
Sao Paulo,80,2,1,1,-,not acept,not furnished,R$0,"R$1,100",R$28,R$17,"R$1,145"
Sao Paulo,244,3,4,2,7,acept,furnished,"R$3,500","R$12,000",R$648,R$153,"R$16,300"
Rio de Janeiro,220,4,4,3,12,acept,not furnished,"R$3,600","R$5,100",R$892,R$65,"R$9,657"
