id,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,reviews_per_month,price
12726985,4/27/16,0,N/A,N/A,N/A,f,1,t,f,Leblon,-22.98386,-43.22479,Entire home/apt,4,1 bath,2,2,0.01,300
41939482,10/11/17,0,N/A,N/A,N/A,f,3,t,t,Taquara,-22.93436,-43.37854,Entire home/apt,4,1 bath,2,2,,60
7.81433E+17,8/12/16,0,N/A,N/A,N/A,t,9,t,t,Camorim,-22.97557703,-43.4145144,Entire home/apt,2,1 bath,1,2,,695
44362227,7/22/20,0,N/A,N/A,N/A,f,2,t,t,Campo Grande,-22.87569,-43.55037,Entire home/apt,2,1 bath,1,,,200
31941124,2/10/14,0,N/A,N/A,N/A,,3,t,f,Barra da Tijuca,-23.00904,-43.29586,Private room,2,1 private bath,,1,,700
8.14282E+17,4/17/20,0,N/A,N/A,100%,f,1,t,t,Barra da Tijuca,-23.01208311,-43.30742259,Entire home/apt,4,2.5 baths,2,2,,1397
23479487,5/24/16,1,N/A,N/A,N/A,,2,t,f,Tijuca,-22.91995,-43.23377,Private room,2,1 shared bath,,1,,50
32742457,10/15/14,0,N/A,N/A,N/A,,3,t,f,Rio Comprido,-22.92425,-43.20772,Private room,1,1 private bath,,1,,200
14116341,7/21/16,0,N/A,N/A,N/A,f,1,t,t,Jacarepagu,-22.97276,-43.4109,Entire home/apt,4,2 baths,4,2,,900
35485730,5/22/19,0,N/A,N/A,N/A,f,6,t,f,Barra da Tijuca,-23.0132,-43.31783,Private room,2,1 bath,1,1,,1001
22559003,1/4/18,0,N/A,N/A,N/A,f,1,t,t,Santa Teresa,-22.921535,-43.180424,Entire home/apt,4,1 bath,1,2,0.06,159
10382457,1/5/16,0,N/A,N/A,N/A,,1,t,f,Tijuca,-22.93739,-43.24763,Private room,3,2 baths,,1,,479
40722046,9/6/19,1,within an hour,100%,100%,f,68,t,t,Copacabana,-22.97146,-43.18538,Entire home/apt,4,2.5 baths,2,2,0.24,280
10652418,8/17/15,0,a few days or more,0%,0%,f,1,t,f,Catete,-22.92399,-43.17774,Entire home/apt,3,1 bath,,3,,718
32403783,2/15/19,0,N/A,N/A,N/A,f,1,t,f,Copacabana,-22.96954,-43.18772,Entire home/apt,4,1 bath,1,2,,3000
5.84049E+17,10/9/17,0,N/A,N/A,N/A,f,1,t,t,Cidade de Deus,-22.94309,-43.37077,Entire home/apt,2,1 bath,1,1,,680
45586684,9/6/19,1,within an hour,100%,100%,f,68,t,t,Copacabana,-22.98072,-43.19067,Entire home/apt,3,1 bath,1,1,0.17,309
